Rooster;Alice In Chains;1992;69;0.269;0.551;0.118;144.408;3
Runnin' Down A Dream;Tom Petty;2019;70;0.471;0.956;0.624;169.798;4
Heart Of Glass - Special Mix;Blondie;2002;40;0.659;0.78;0.181;114.421;4
I Can't Explain - Mono Version;The Who;1965;52;0.572;0.688;0.072;138.841;4
You Give Love A Bad Name;Bon Jovi;1986;1;0.537;0.959;0.382;122.806;4
Down with the Sickness;Disturbed;2010;67;0.649;0.896;0.102;90.009;4
You Really Got Me - 2015 Remaster;Van Halen;1978;68;0.454;0.946;0.173;138.18;4
The Pot;TOOL;2006;68;0.469;0.79;0.282;107.45;4
Fell In Love With a Girl;The White Stripes;2001;44;0.144;0.978;0.816;191.787;4
Old Time Rock & Roll;Bob Seger;1978;73;0.714;0.937;0.0731;124.13;4
Gimme Some Lovin' - Single Mix;The Spencer Davis Group;1966;61;0.598;0.564;0.277;147.619;4
Jack & Diane;John Mellencamp;1982;74;0.811;0.41;0.0799;103.965;4
Werewolves of London - 2007 Remaster;Warren Zevon;1978;66;0.75;0.62;0.0612;103.538;4
My Sharona;The Knack;1979;73;0.586;0.7;0.0318;147.245;4
My Hero;Foo Fighters;1997;70;0.398;0.927;0.0575;77.106;4
